tag,optn,batch,beta,margin,budget,c_onset_lo,c_onset_hi,c_death,death_lower_bound,r1,decoh,offpi,cv2h,kappa_raw,kappa_spec,gain,onset_death_unresolved,budget_artifact
A2_adam_b2048_s0,Adam,2048,0.9,nan,nan,1.3,nan,nan,True,-0.44067914034305683,0.5593208596569432,0.6122067281899853,nan,37.02193359375,0.2755944667202293,0.007444086247476681,False,False
A2_adam_b2048_s1,Adam,2048,0.9,nan,nan,1.3,nan,nan,True,-0.4106435415214086,0.5893564584785914,0.5780081842136019,nan,37.116054687500004,0.31191809120148417,0.008403859026173178,False,False
A2_b2048_beta0.9_s0,SGD-Momentum,2048,0.9,nan,nan,1.3,nan,nan,True,-0.902738507534992,0.09726149246500804,0.007867263414644388,nan,2.9357680053710937,1.5838103276995883,0.5394875633231067,False,False
A2_b2048_beta0.9_s1,SGD-Momentum,2048,0.9,0.2227019260637484,nan,1.15,1.3,nan,True,-0.957428117073364,0.04257188292663605,0.0012883915212764663,nan,3.3045532455444335,1.7580222344009357,0.531999972090417,False,False
A_adam_b2048_s0,Adam,2048,0.9,nan,nan,1.3,nan,nan,True,-0.513819467549397,0.486180532450603,0.48702946410206116,nan,34.628458984375,0.2898667477040909,0.008370766595039186,False,True
A_adam_b2048_s1,Adam,2048,0.9,nan,nan,1.3,nan,nan,True,-0.49292139938942564,0.5070786006105743,0.4142724041285226,nan,34.814171875,0.2369308785456249,0.0068055870866704305,False,True
A_adam_b8_s0,Adam,8,0.9,nan,nan,2.3,nan,nan,True,0.039980126408661915,0.9600198735913381,0.7531606978395036,1.745351791381836,23.7413388671875,0.3054993906855351,0.012867824868451736,False,False
A_adam_b8_s1,Adam,8,0.9,nan,nan,2.3,nan,nan,True,0.015245237788684753,0.9847547622113152,0.7570166889521235,1.9214911460876465,19.598650390625,0.3943726474974771,0.020122439027032438,False,False
A_b2048_beta0.9_s0,SGD-Momentum,2048,0.9,nan,nan,1.3,nan,nan,True,-0.8532753470959831,0.14672465290401693,0.024528697576018943,nan,2.8448114471435546,1.5598475128053568,0.5483131454534829,False,True
A_b2048_beta0.9_s1,SGD-Momentum,2048,0.9,0.2227019260637484,nan,1.15,1.3,nan,True,-0.9476852904980471,0.05231470950195294,0.002510320780969577,nan,3.1812288970947264,1.695871794531608,0.5330870080051051,False,True
A_b32_beta0.9_s0,SGD-Momentum,32,0.9,0.32287565553229536,nan,1.25,1.4,nan,True,0.13986102637139422,0.8601389736286058,0.7863877008838692,0.22268489003181458,0.3214483642578125,0.3095833717428401,0.9630889628498583,False,False
A_b32_beta0.9_s1,SGD-Momentum,32,0.9,0.04880884817015163,nan,1.0,1.1,nan,True,0.13451961023321377,0.8654803897667862,0.7636565064742533,0.29030144214630127,0.3135331153869629,0.3043199702380015,0.9706150811610744,False,False
A_b8_beta0.99_s0,SGD-Momentum,8,0.99,nan,nan,2.3,nan,nan,True,0.13291734482725812,0.8670826551727419,0.7858881516428851,0.47567957639694214,0.013796473145484925,0.013930349266431151,1.009703648137788,False,False
A_b8_beta0.99_s1,SGD-Momentum,8,0.99,nan,nan,2.3,nan,nan,True,0.16384963386570495,0.836150366134295,0.7775136435061212,0.7940280437469482,0.013364853358268739,0.01380938801988132,1.0332614694449715,False,False
A_b8_beta0.9_s0,SGD-Momentum,8,0.9,nan,nan,2.3,nan,nan,True,0.1213237025682868,0.8786762974317132,0.7671610157241056,0.6240139603614807,0.14565756225585938,0.14433201063957427,0.9908995345263525,False,False
A_b8_beta0.9_s1,SGD-Momentum,8,0.9,nan,nan,2.3,nan,nan,True,0.12078499288407472,0.8792150071159253,0.7993426030164821,0.7793076038360596,0.1495264663696289,0.14908619971880818,0.9970555938255613,False,False
A_nest_b128_beta0.9_s0,SGD-Nesterov,128,0.9,0.02469507659595993,nan,1.0,1.05,nan,True,-0.8178563750336936,0.18214362496630643,0.1602274896406708,0.020158300176262856,1.4480704650878906,2.2499483254823116,1.5537561049183826,False,False
A_nest_b2048_beta0.9_s0,SGD-Nesterov,2048,0.9,0.02469507659595993,nan,1.0,1.05,nan,True,-0.9997138512029903,0.00028614879700972207,2.1255143323184456e-07,nan,1.3532871360778809,1.9943972787334459,1.47374287803669,False,False
A_nest_b2048_beta0.9_s1,SGD-Nesterov,2048,0.9,0.02469507659595993,nan,1.0,1.05,nan,True,-0.999829584855178,0.00017041514482196707,1.1489978601897377e-07,nan,1.354129192352295,1.9956460628170476,1.4737486453196953,False,False
A_nest_b512_beta0.9_s0,SGD-Nesterov,512,0.9,0.02469507659595993,nan,1.0,1.05,nan,True,-0.9930394153516992,0.006960584648300849,0.004303421342397473,0.003428130643442273,1.3945743408203126,2.075077110389559,1.4879644990233816,False,False
A_sgd_b2048_s0,SGD,2048,0.0,0.02469507659595993,nan,1.0,1.05,nan,True,-0.9998812917455948,0.00011870825440518651,3.264107297784591e-07,nan,1.9722296404838564,1.9722295331078148,0.9999999455560148,False,False
A_sgd_b2048_s1,SGD,2048,0.0,0.02469507659595993,nan,1.0,1.05,nan,True,-0.772552940385713,0.22744705961428702,0.13641228252635407,nan,1.9681325232982636,1.9681326516402688,1.0000000652100423,False,False
